Metric,7 Day Avg,7 Day Avg % Change,Monday,Tuesday,Wednesday,Thursday,Friday
<strong'>Network Performance</strong>,-,-,-,-,-,-,-
Total Address Count,"52,759,257",-0.13%,"52,729,232","52,712,088","52,742,527","52,733,553","52,759,882"
Address Count > $10,"33,945,303",0.20%,"33,913,273","34,027,801","33,910,449","33,783,884","33,925,324"
Active Addresses,"675,000",-6.44%,"714,520","706,882","662,757","715,632","700,335"
Supply Held 1+ Year %,65.44%,-0.24%,65.45%,65.44%,65.45%,65.44%,65.44%
Transaction Count,"567,555",19.48%,"442,326","582,647","510,189","658,114","581,170"
Transfer Count,"996,326",9.56%,"832,631","1,022,502","965,434","1,121,000","1,070,365"
Transaction Volume,"$6,878,022,222.60",-21.72%,"$8,026,715,348.84","$10,031,081,862.85","$8,651,727,759.66","$7,331,085,655.71","$7,220,641,914.58"
Transaction Fee USD,"$463,778.96",-4.56%,"$497,690.75","$485,268.16","$466,803.79","$497,391.64","$518,213.43"
<strong'>Network Security</strong>,-,-,-,-,-,-,-
Hash Rate,"642,003,153",4.41%,"617,466,712","671,551,385","593,799,521","690,944,705","613,213,426"
Network Difficulty,"89,040,061,846,221",-1.79%,"90,666,502,495,566","90,666,502,495,566","86,871,474,313,762","86,871,474,313,762","86,871,474,313,762"
Miner Revenue,"$27,177,909.77",7.66%,"$25,925,816.76","$28,672,457.60","$24,738,570.54","$29,319,485.49","$26,667,192.38"
Fee % Of Reward,1.72%,-11.05%,1.92%,1.69%,1.89%,1.70%,1.94%
<strong'>Network Economics</strong>,-,-,-,-,-,-,-
Bitcoin Supply,"19,739,376",0.02%,"19,738,921","19,739,387","19,739,799","19,740,299","19,740,743"
Bitcoin Supply In 10 Years,"20,767,399",0.00%,"20,767,285","20,767,402","20,767,505","20,767,630","20,767,741"
% Supply Issued,0.94%,0.02%,0.94%,0.94%,0.94%,0.94%,0.94%
Bitcoin Mined Per Day,451,5.76%,428,466,412,500,444
Annual Inflation Rate,0.83%,5.74%,0.79%,0.86%,0.76%,0.92%,0.82%
Velocity,5.06,-0.21%,5.07,5.07,5.07,5.06,5.05
<strong'>Network Valuation</strong>,-,-,-,-,-,-,-
Market Cap,"$1,170,403,931,936.79",1.96%,"$1,172,376,697,310.68","$1,194,948,367,404.52","$1,161,502,552,681.40","$1,137,913,514,476.40","$1,163,268,220,731.65"
Bitcoin Price,"$59,292.88",1.94%,"$59,394.16","$60,536.25","$58,840.65","$57,644.19","$58,927.28"
Realised Price,"$31,414.02",0.18%,"$31,423.09","$31,424.27","$31,406.80","$31,400.14","$31,402.62"
Thermocap Price,"$3,431.07",0.25%,"$3,429.76","$3,431.13","$3,432.31","$3,433.71","$3,434.99"
