Moving Average,Price,7 Day % Change
3 Day MA,96343.42860520164,6.6971954396641165
7 Day MA,96132.62621520413,7.213982376434069
30 Day MA,82432.21650552307,8.846322032458609
50 Day MA,75669.70638393336,6.787636210496961
100 Day MA,68133.63596171829,3.9568806383635913
200 Day MA,66058.49424609877,1.7897054685501956
50 Week MA,61364.858652524,1.7478304866342942
200 Week MA,41344.500970041474,0.7668302943680816
50 Month MA,40082.998797090295,0.9960184856069976
Current Price,93343.0290745178,3.0416189238388736
