,Time Frame,ROI,Start Date,BTC Price
0,1 day,-0.42052706700570486,2024-06-05,71087.4433158971
1,3 day,2.840483399451088,2024-06-03,68833.3028351841
2,7 day,3.5290801464919364,2024-05-30,68375.4760260082
3,30 day,13.448565945130042,2024-05-07,62396.999720339
4,90 day,3.5771927555028338,2024-03-08,68343.7149552893
5,1 Year,168.75335136136545,2023-06-07,26339.5790292227
6,2 Year,127.06793180329434,2022-06-07,31175.0324289889
7,4 Year,626.2161538461462,2020-06-07,9747.58011104617
8,5 Year,791.5647172021766,2019-06-08,7939.80515488019
9,10 Year,10818.484579351316,2014-06-09,648.336322326125
